maliciousness	wrongdoing	malice	foul play	wrongfulness	offence	foulness	unfaithfulness	voluptuousness	evilness	iniquity	harmedness	insinuation	possessiveness	unintentional harm	prevarication	calamity	unintentionality	premeditation	attempt
gas	gaseous state	carbon dioxide	sulphur dioxide	chemical compound	dimethylformamide	sulfate	organic compound	diatom	carbon monoxide	chemical group	bicarbonate	pollutant	sulfur dioxide	foetal organophosphate	theobromoxynitrate	sulphuric acid	theobromoxynitrite	theobromobinetoxin	diammonia
person	writer	author	bookman	social action	poetess	artist	thespian	private detective	working woman	teacher	woman	essayist	journalist	shenanigans	satirist	anatomist	narratan	detective agency	narrator
person	writer	jurisconsult	lawmaker	military branch	jurist	historian	author	evaluator	legal expert	military person	scribe	philologist	public figure	lawful person	legislator	armed services	hepatologist	scholarly person	armed service
person	pontiff	papacy	theologian	king	monarch	chief of state	lordship	head of state	chief	leader	presbyteral pontiff	presidential office	abdicate	title of respect	ruling class	presiding officer	olympic leader	olympiad	aristocrat
technological advancement (engineering)	high-speed jet	aristotelian physics	propulsion system	jet engine	pcb (computer aided design)	aircraft type	electronic component	technical specification	engine	superheterotome	propellant	high-tech equipment	twin-bladed smouldering light source	twin-bladed sclerator	twin-bladed smouldering jettorch	twin-bladed smouldering electric circuit	twin-bladed smouldering electric jet	twin-bladed schopper	superconducting material
organization	societies	society	political organization	sociopathic society	social control	aristotelian society	social control system	group of people	social action	group	political organisation	aristocracy	theoretical concept	sociologist	theocracy	philology	socioeconomic class	rule of law	theoretical model
text file	technical specification	history of science	disciplinary discipline	disciplinary field	social science	written language	natural science	literature	history	humanities	theoretical science	edifice	theology	disciplinary category	disciplinary branch	work of art	literary form	periodical publication	disciplinary subject
antibiotic	antibacterial agent	antibacterial	antimicrobial	drug	molecular biology	antimicrobial agent	disinfectant	biopolymer	micro-organism	biopolymers	anti-microbial drug	biocide	dipeptidyl amine	anti-microbial agent	organic chemical group	bactericidal agent	bactericide	micro-organisms	bioflavonoid
plant	flowering tree	perennial	flower	petunia	flowering plant	annual plant	genus lupus	genus homoptera	grammatical category	fruticosity	alkaloid	genus	flora	cylindricaceous botanical species	cylindricaceous botanical group	plant species	cosmetologist	cylindricaceae	common gardener's garden
thespian	person	work of art	musical composition	musical work	rock 'n roll	dance band	narrative mode	rock 'n' roll	storyline	story line	moving picture	recording	piece of music	piece of work	rock band	picture	picture show	rock-and-roll	rock 'n' roller disco
paragraph	sentence	written language	part of speech	section	paragraphal space	grammatical category	language	infinite space	work of art	text	literary composition	text file	infinite	library science	permutations	infinite length	infinite word	infinite number	page
person	sailing ship	sculptor	painter	personal name	engineer	architect	artist	equestrian	poet	contemporist	painters	conductor	protagoranism	contemporist.	protagonism	humanist	surname	protagorist	pedagic character
product	goods	manufacturing process	work of art	manufacture	lexical class	lexical unit	agroalimentarist	commercially exploited area	commercially exploited territory	agroalimentary product	agroalimentary supplement	agronomic category	commercially-oriented development	agronomic group	new-age science	a product	commercially acceptable work of art	commercially exploited space	commercially exploited goods
burial	burial site	grave	burial place	graveyard	resting place	burial ground	cemetery	body of water	storage medium	grotto	edifice	burying place	burial chamber	grotted area	funeral procession	abattoir	corporeal material	sarcophagi	aborted person
person	farmer	tradesperson	entrepreneur	cultivator	petri dish	proclivity	tradesman	procreator	agricultor	farmhand	agriculturist	horticulturist	pecuniary institution	horologist	pecuniary organization	food product	peasant and person	peoplyer	peasant
person	writer	artist	painter	author	photographer	poet	performer	portraitist	poetess	work of art	theorist	thespian	person / writer	photojournalist	person - writer	person and actor	person and artist	person  writer	person and musician
university	college	pedagogical institution	educational institution	school	non-profit organization	public university	educational establishment	pedagogical organization	college campus	tertiary institution	edifice	organization	nongovernmental organization	nonsectarian institution	nonprofit organization	anglo-american university	pedagogical context	pedagogical system	an educational institution
person	leader	chief of state	aristocrat	theocrat	political leader	boss	lord	chief	ruler	tyrant	titled person	officeholder	heiress	holder of the title	lord of the house	olympiad	monarch	high ranking official	de facto head of state
electronic equipment	communication medium	transmission channel	technical specification	electrical circuitry	electrical device	information processing system	circuitry	telecommunications equipment	telecommunications device	radioactive substance	audiovisual equipment	audiovisual apparatus	audiovisual medium	technology	radio frequency	audiovisual system	wireless transmission and installation art	technical specification; specification	technical specification; mechanical assembly
dish	food product	food item	street food	serving dish	pastries	product	tatoo	food products	tortillas	fried dough	foodstuff	handmade product	savoury dish	fried food	tortilla	serving size	porridge	cooked food	snack food
person	writer	female person	artist	personification	author	girl group leader	teacher	schoolteacher	poet	musician	actress	singer	professional photographer	photographer	poetess	associative artist	school teacher	literary work	performer
written language	book of account	written communication	communication medium	lexical category	data-storage unit	periodical literature	perceptual experience	perceptual perception	periodical publication	written work	data-storage medium	percolation	musical work	spoken language	musical composition	written document	perceptual description	perceptiveness	adverb
music	music genre	musical style	style	popular music	form of music	popular music genre	music style	musical genre	melodies	musical movement	rhythmic genre	musical work	rock music	form of expression	music category	style of music	classical music genre	classical music era	melodies and forms
museum	amusement park	public building	facility	museums	structure	science museum	exhibit	industrious organization	public park	industrious institution	industriousness	zoological society	parkland playfield	zoological garden	zoological park	industrious organisation	natural history museum	industrious corporation	parkland conservation area
plant	vegetable	food product	carbohydrate	chemical group	plant food	tuber	seed	micro-organism	microorganism	non-vegetable food	non-meat food product	non-meat food group	tuberculosis	non-meat food item	non-vegetable plant	non-vegetable product	micro-nutrient	tinned sweet potato	tuberculin
argumentation	part of speech	argument	reasoning	written language	expression	invoking	debate	citation	argumentative process	persuasion	incontrovertible argument	linguistic unit	phrase	incontrovertible evidence	arguement	adverb	incontrovertible argumentation	verbal expression	part of a speech communication
weight unit	measure	kilogram	unit of measurement	unit of measure	metric unit	cubic centimeter	milligram	milliliter	metric ounce	cubic centimetre	millimetric unit	metric system	millimeter	millilitre	persuasion	quantity	persometric unit	weigh-up	pecking order
emergency	condition	sickness	ailment	disorder	hazard	medical necessity	misbehavior	medical emergency	medical need	conditinuosity	ill	situation	problem	necessitousness	conditio sinecrator	necrosis obstructive disorder	health emergency	necessity	necessitating circumstance
person	natural law	law-abiding person	fictitious character	writer	theologian	legal person	fictional character	scribe	character	olympiad	contest	law-abiding citizen	political leader	legal expert	jurist	poet	law-abiding person.	human being	law-abiding party
nutrient	concoction	food ingredient	food product	chemical phenomenon	food additive	condiment	aqueous solution	compound	natural phenomenon	technical specification	chemical group	plant nutrient	inert substance	food item	chemical compound	ingredients	kitchenware	inert ingredient	ingredient
outreach	social service	service	work of art	social action	social work	for the betterment	volunteerism	socialization	social control	social movement	communication medium	community service	promotion	social function	social welfare	social enterprise	communication channel	social service work	human services.
person	pupil	student	learner	learning process	knowledge worker	teacher	perceptiveness	worker	perceptual state	human being	work of art	perceptual ability	perceptual process	human language unit	learning experience	learning organization	perceptor	perceptibleness	theologism
communication medium	transmission	transmission channel	message	written language	medium	written communication	textfile	messaging system	e-mail address	data channel	mail	e-mail	information technology (information technology)	information storage medium	telephony	telegraph	edifice	electronic file	information storage device
empty space	absence	emptyness	void	nothingness	emptiness	discrepancy	space	voidness	imperfection	nonexistence	natural phenomenon	incomprehensibility	abscess	abstinence	unfilled space	perceptual distaste	perceptual state	vanishing point	discontentment
geographical point	city	thespian	person	civil servant	local government area	mapmaker	political organization	political organisation	mapmaking	town	edifice	city district	palaeography	place of birth	place of residence	locus	place of interest	musical work	piece of ground
university	school	educational institution	higher education	academy	college	university system	higher-educational institution	higher learning institution	chinese higher education institution	chinese higher education	chinese education institution	annexed structure	avowedly corrupt organization	higher-education	edifice	academies	annexe	annexe to the Chinese Empire	higher-education institution
person	aviator	aeronautical engineer	flight attendant	passenger airliner	passenger	military branch	airline	airplane pilot	pilot	travel	persona non-numericity	persona non grata	philanthropist	persona non genera	aeronautical person	practitioner	aviation pioneer	practite	aeronautical engineer/flight engineer
pawnbroker	person	broker	trader	businessman	thespian	conglomerate of businesses	merchant	gambler	marketer	speculator	mkt	merchandrier	counter-arbitrary	counterperson	counterfeiter	annals of the bourbon house	annals of the bbq	annals of the bourbon dealer	annals of the b2b community
protest	resistance	protestant	insolence	act	opposition	nonchalance	obliteration	obstructiveness	obstructive action	deviation from the norm	obstructive act	spirit of braveness	deviation from the normal course	indecency	deviation from the ordinary	nonchalantness	intransigent opposition	intransigentness	spirit of rebellion
person	crew member	captain	olympic sport	olympic sports	sport	vessel	boatmate	crewmember	olympiad	sportsperson	nautical vessel	team sport	man of letters	ship olympic policing	ship's crew member	ship's name	ship steward	military branch; military rank; commissioned officer	ship olympic sports
person	child	youngster	ordinal person	children	young person	grammatical category	fictitious character	fetus	lexical category	fictitious person	lexical class	linguistics	grammatical class	equivalence	thesaurus	fictitious persons	fictitious characters	biological group	equivalency
bureau of government	government department	bureau of economics	physical phenomenon	physical system	government agency	law-abiding public sector	economic science	law-abiding establishment	rule of law and rules of conduct	rule of law and edict	rule of law and rules of procedure	rule of law and regulation	bureaucracy	rule of law and law of nature	economics	rule of law and law of war	rule of law and monetary policy	rule of law and its interpretation	rule of law and regulations
money	payment method	means of exchange	means of payment	unit of measure	unit of measurement	monetary system	monetary unit	currency unit	exchange rate	economic system	thesauri	payment	statement of fact	economic unit	social control	theorized economy	statement of account	statement of facts	social control and control
grave	graveyard	person	penal unit	molecular biology	infirm person	unfit person	penal institution	prisoner	molecular biologist	rubbish	body of water	piece of land	misdemeanor	misdemeanour	sanatorium	inferior class	molecular physics	molecular biologists	burial ground
coin	monetary unit	currency unit	equivalent value	note	value	cents	equivalent amount	cent	denomination	amount	measure	change	money	peso	unit of measure	dollar amount	equivalent measure	unit of currency	decimal system
social club	fraternity	labor union	social organization	honorary society	association	affiliation	society	brotherhood	scholastic honor society	club	scholastical society	scholastic society	frat	unit of national organization	vowel organization	social service organization	vowel society	social service	intercollegiate sport
person	military man	sportsperson	actor	writer	musician	jurisconsult	scientist	theologian	military force	anarchist	physicist	sportswoman	competitor	jock	thespian	scholarly person	athlete	composer	songwriter
facilitator	person	promotor	service provider	facilitators	operator	facilitate	faciliter	author	administrator	interlocutor	astute observer	evaluator	interlocuturist	intermediator	facilitater	instructor	humanist	social control	facilitateur
interconnection	connection	connective tissue	microorganism	mechanism	junction	symbiotic relationship	conjuncture	synapse	tissue	condenser	micro-organism	condensation	symbiotic relation	symbiotic system	inner structure	correspondence	micro-organisms	connective	microorganisms
sweetness	sweet	sugary substance	pleasantness	good taste	natural sweetness	flavour	delicacy	apéritif	alkaloid	ohmics	equanimity	sugar	affix	adjective	condenseness	ohmology	tunefulness	intangible object	opulence
city	town	locus	township	municipality	locale	street address	municipal corporation	local government district	local government area	geographical point	provincial capital	county town	county courthouses	borough	geographical point in time	locator	geographic point	geographical feature	geographical point; place
acrobatics	olympic sports	competition	team sport	sport	ballgame	contest	sporting event	ball game	track and field	sportsperson	football	footwork	olympic sport	athletic competition	athletics	in the past few years there have been a lot of changes.	competing in one of the most popular games in the world	competing in a national or international level	in the game of two-person game
person	jurisconsult	jock	music group	sportsperson	footballer	musician	disc jock	band	musical group	contestant	man of letters	man of the house	wrestler	actor	physicist	bandleader	football player	composer	thespian
pointer	pointing device	handheld electronic game console	device	hand-me-down	pointing instrument	instrument	optical system	reference point	optical instrument	electronic component	pointing system	astrophysical system	hand-held device	hand tool	point of reference	ball pointer	thesaurus	ball point weapon	hand-held instrument
technical specification	computer code	mechanical assembly	work of art	prototype	symbolisation	computer programme	computer program	computer software	picture	figurative language	figurative expression	elaboration	representational process	equivalent	product	data structure	figurative object	specification	piece of work
fictional character	musical work	video game console	computer game	channel	fictitious person	imaginary creature	pc game	fictitious character	play-by-drawn-numbers	play-by-fail	adolescent idol	play-by-drawn-number	video game genre	videogame genre	play-by-fail:	play-by-drawn-number.	play-by-fail.	fictitious character and imaginary being	play-by-drawn-character
animal	subspecies	octopus	mollusk	fish	molecular biology	reptile	sea creature	micro-organism	critter	crustacean	microscopic organism	microscopic creature	microscopic animal	microorganism	microscopic underwater creature	microorganisms	anatomical class	microscopic animals	microscopic fish
person	leader	political leader	politician	chief of state	boss	wartime and military service.	presidential candidate	parliamentary leader	chief	satirist	elocutionary lecturer	eminent figure	elocutionary	recitation	emcee	edifice	eminent person	eminent personality	wartime and civilian service.
check-in	registration	checking in	guest check-in	reception	period of time	time period for checking in	consignment	written document	time period and place of arrival	booked hotel / guesthouse	time period and place of time	time period and place of origin	physical environment	time period	booked hotel	acknowledgement	time period between two parties	time period after arrival	booked hotel/lodging
person	designer	artist	creator	graphic artist	business person	maker	developer	sculptor	shopper	produtor	professed designer	constructor	proclivity	thespian	entrepreneur	work of art	builder	fashion designer	designer / architect
algorithm	computational science	data processing	information processing	data storage device	process	learning process	method	learning	knowledge process	sensorimotor system	machine learning	knowledge organization	technical writing	data processing and learning	programmer's name	knowledge representation	programmer's code	data processing and computation	technical specification
river	body of water	stream channel	natural channel	downstream waterway	waterbody	torrential waterway	channel	waterway	stream	tributary	river channel	waters of the entire river system	waters of the entire world	thespian	waters of the Atlantic Ocean	waters of the atlantic	aquifer	strait-river	dyke
person	scholar	student	scholarly	graduate	alumnus	persuader	lexical class	unaffiliated persons	lexical noun	lexical category	lexicon	industriousness	persuasion	lexical character	college graduate	academic honorific	persuade	academically qualified person	thespian
person	writer	music group	artist	musician	band	music genre	work of art	poet	actor	songwriter	producer	person of interest	author	music producer	music director	bandleader	musical group	musical organization	thespian/pianist
physics	system	physical phenomenon	geomagnetic field	mechanics	fluid mechanics	convective action	natural phenomenon	geologic timescale	h2o	natural process	convective function	geomagnetic phenomena	movement	observable	environment	geologic formation	phenomenon	geological time	tectonics
image	work of art	pc game	technology	person	maker	coding system	edifice	technical specification	engineering science; mechanical assembly; engineering physics; scientific research	image processing unit (proclivity)	draughtsman	engineering science; mechanical assembly; engineering physics; electronic component	computer software	computer system	engineering science; mechanical assembly; engineering physics	image processing unit (pc game)	graphical user interface	astrophysical science	epoch
optician	device	eyewear	person	ophthalmologist	pupil	instrument	wearer	ocular system	ophthalmograph	speculative category	speculative term	optometrist	ophthalmoscope	optical instrument	ophthalmist	speculator	optical device	eye doctor	medical specialist
person	piece of work	fictional character	literary work	pc game	hermioned	literary production	hermetic system	fictional universe	work of art	computer game	archeological dignitry	computer software	pictorial work	archeological dignitary	poetess	archeological dignified place	archeological dignity	figure of speech	literary system
metal	metals	metallic element	metal ore	mineral	metallic zinc	base metal	precious metal	metal sulfate	alkaloid	molecular biologist	molecular observable	métamorphosis	thermogratic element	elemental zinc	molecular biology	molecular entity	molecular characterization	mineralogy	métamorphoses
musical composition	introduction	work of art	musical work of art	tv series	talk radio show	musical work	tv program	television program	musical organization	piece of work of art	television series	channel	piece of music	tv show	introducing	piece of work	transmission channel	music genre	work of art.
alkaloid	beverage	alcoholic beverage	soft drink	concoction	drink	micro-organism	chemical group	product	function	drinkable	diacetylethanol	fluid	micro-organisms	liquid state	persuasion	micro-nutrient	chemical process	bicarbonate of menthol	bicarbonate dissolving product
agriculturist	plant material	weed	plant part	work of art	plant	herb	animal	grass	pest	hard-to-find item	hard-to-find object	saffron-coloured material	woody animal	cotton woolly mammal	saffron-coloured plant material	hard-to-find food item	piece of work	agriculturalist	hard-to-get-by animal
function	musical group	city	mapmaking	book	thespian	corporeal product	playwrighting	corporeal substance	playwright	work of art	corporative history	dialectic unit	dialectical dialectology	musical style	corporeal phenomenon	scientific research	corporeal property	technical specification	technical specification.
person	reign	leader	politician	king	political leader	boss	lexical term	chief	thespian	court administrator	playwright	deity	legal name	title of respect	syllabary	syllable	lexical word	edifice	lexical noun
person	scientific research	physicist	scientist	philosopher	mathematician	mathematical theory	sociologist	horologist	ph.d.	renowned mathematician	academician	theoretist	theoretician	natural philosopher	physicist.	natural philosophy	philosophy	esotericist	physicist and philosopher
piece of equipment	pavers	paver	building material	dishwashing machine	dishpan	pails	work of art	non-combustible fuel	paddling wheel	construction site	non-combustible material	implement	shovel	stone	granular material	worktop	tool	built-up area	piece of work
meal	dish	ceremonial occasion	cookware	meditative state	ceremonial ritual	ritual	ceremonial process	practice of dashi	dashi	consecrated place	ceremonial custom	non-alcoholic drink	food preparation	vegetarianism	ceremony	ritual meal	non-essential food item	state	religious ceremony
soup	dish	delicacy	kitchen appliance	stew	vegetable	soupes	supper	savoury soup	sup	soupetizing food	cookware	kitchenware	soupetizing soup	food product	cooking oil	supposit	homonym	soupy stew	homonyms
animal	food product	dexterous animal	defiantly	sourdough bread	food item	convection oven	oven	dexterous mammal	dextrous	small food product	protruding animal	monstrosity	conical shape	convex shape	dexterous medium	dexterous mammals	protruding object	street food	constrictor
windstorm	violent storm	phenomenon	weather condition	high-speed train	meteorological phenomenon	condition of being	natural phenomenon	cyclone	air current	atmospheric condition	atmospheric state	atmospheric phenomenon	condition of being observable	storm	natural action	physical phenomenon	weather	disturbance	passing of a line of land line
carbohydrate	sugar	chemical group	polymer	alkaloid	molecular entity	organic compound	carbohydrates	glycoside	organic chemical group	chemical bond	glycosamine	glucoside	bioflavonoid	diluent	hexososide	agrochemical	enzymatic reagent	sulfate	biopolymer
profiling	discrimination	targeting	social control	differential treatment	racial profiling	persuasion	race profiling	practiced based on race	racial discrimination	socio-economic stratification	persecutor	lawful targeting	misbehaviour	socio-economic class	socioeconomic stratification	ethnic profiling	criminal offence	targetting	misbehavior
mechanism	microcircuit	component	mechanical assembly	actuator	mechanics	electronic device	device	element	physical property	control system	technical specification	actuating device	eq.	micro-organism	thespian/musician	adduct	electric motor	thespian/technician	system of parts
disk	data storage device	storage medium	paper	medium	piece of paper	disks	disc	hard drive	storage	piece of work	edifice	optical disk	computer disk	piece of material	data-storage medium	mechanical assembly	cartographic symbol	cartographic symbolism	cartography
cell	melanocyte	pigment	human body part	hematopoietic pigment	skin cell	cellular structure	biological group	hematopoietic tissue	hematopoietic organism	hematopoietic component	part of the body	molecular biology	melanocystis	melanocytic cell	melanocytic pigment	myelocyte	melanocytic	molecular biologist	molecular biology and biology
computer chip	micro-enterprise	microchip	chip	microcontroller	u.s. national identity card	electronic circuit	electronic equipment	electronic component	electronic component (electronic component)	electronic component (cylindrical representation)	electronic device	microcircuit	microprocessor	utensil	data storage device	storage device	storage medium	coding system	identification card
university	college	educationist	person	school	educational institution	university of stanford	aristocrat	theological institution	educational system	theological seminary	theological school	prestigious university	centre for higher education	collegiate football team	collegiate athletic team	name-of-place	institute	name brand name	university campus
prescription	prescription drug	utility software	control	scientific research	electrical energy	energy	chemical action	chemical process	drug	non-verbal communication	commingled category	compositon	commingled term	commingling	composite	medication	nonverbal communication	compositor	nonverbal behavior
hammer	tool	implement	weapon	technical specification	hand tool	forehand instrument	heavy hammer	heavy weapon	workman's tools	workman's uniform	forcibly fitting	forcible device	workman's comp and tool	workman's comp and instrument	hand instrument	type of material	forehand	type of wood	break-apart piece of wood
person	ophthalmologist	work of art	non-sense organ	blindness	blind	person of color	deficient	deaf	visually impaired	lexical class	handicap	persecutor	people who are visually impaired	sense organ	persuader	persuasion	sensory organ	medical specialist	person blind
person	writer	author	court reporter	human rights defender	actress	actor	athlete	sportsperson	leader	evaluator	bodybuilder	personality	jock	politician	boss	producer	poet	sportswoman	reporter
animal	punky	piece of wood	pig	piece of music	musical composition	mickey	punk	musical work	cutlery	piece of paper	object	piece of junk	carousel	ballroom dance band	plaything	deer and mammal	mickey mouse	musical instrument	mick
sleep	snooze	sleepiness	slumber	time period of slumber	time period of snooze	misbehaviour	time period of inactivity	time period of sleep	pajama and nap	somnambulatory state	discontentment	time period of rest	pajamas	pajama party	sleepwalking	somnambulatory disorder	abhorrence	unsociable person	sleeping
sickness	disease	pathological state	illness	body disease	cancer disease	endometriosis	disorder	psychiatric illness	disease process	nephritis	pathological entity	cancer	nephropathology	ill health	autoimmune disease	neo-plasm	pathological process	dystylenomyelopathy	dystylenomaniform substance
computing device	market value	market price	monetary unit	mathematical relation	differential equation	quantitative method	mathematician	relative value	mathematics	mathematic equation	relation between two variables	mathemagical relation	mathemagic operation	pricing unit	mathemagic equation	quantitative relation	per centavo	relation between two quantities	quantitative mechanics
visibilism	low cloud cover	weather condition	windstorm damage	natural phenomenon	airborne meteorological phenomenon	line of sight	visual appearance	windstorm	wind	atmospheric phenomenon	atmospheric condition	line of wind	phenomenological term	phenomenology	moving-picture show	violent storm	phenomenological category	haze	phenomenological state
person	mate	platoon	homogeneity	compatible person	companion	soul mate	homologuist	homogeneous partner	companionship	lovable person	conjugal benefactor	sociologist	platoon and mate	happiest person	conjugal rite	platoon and kin	platoon and romantic partner	human being	relational category
gemstone	gem	ruby	stone	precious stone	fine art	jewel	emerald	swatches	chartreuse	shade of green	sapphire	chart-related terms	fine gold	Gemstone	talisman	shade of blue	chart equivalent	colourless	colourless gemstone
person	social worker	leader	political leader	politician	sportsperson	writer	actor	lexicologism	lexicometrics	lexicographical term	professional football player	lexicographical class	newspaper columnist	political organization	performer	lexicographic character	lexicographical category	professional sportsperson	lexical category
handkerchief	cloth	handbag	headgear	cardigan	piece of cloth	hand cloth	headdress	piece of clothing	head scarf	fingernail	personal hygiene care product	hat	cover-up	veil	scarlet and white color	coverall	fingernails	coverup	mantle
city	political system	locale	political organization	county courthouse and municipal government	place of worship	public building	city district	map	town	in the u.s.	local government	in the state of virginia	in the state of england	place of residence	in the state of paternity	in the state of paucity	city hall	in the state of america	state capital
work of art	person	fictitious character	fictional character	poem	piece of music	musical composition	electronic music	book	character	lyrical expression	self-expression	self-consciousness	picture	picture show	self-descriptor	self-help book	lyrical art	lyrical language	lyrical poetry
dwelling	house	built structure	built environment	construction site	housing	constructed structure	lodging	place of residence	enclosement	enclave	abode	dwelling house	en suite suite	built-up space	private home	built-up	place of origin	place of worship	public building
tourism	travel	tourist attraction	tourist activity	'tourism'	sphere of interest	economic sector	ecological tourism	sphere of influence	touristic culture	sphere of application	edification	sociologist	sphere of activity	pratitique	practical application	activity	economics	environmental conservation	tourist industry
piece of furniture	storage device	cabinet	drawer	storage unit	cupboard	storage space	a chest of drawer	built-in	storage	drawers	chest	a chest of drawers	utensils	chest of drawers	apron	built-in drawers	built-in drawer	built-in furniture	trundled item
person	man of letters	athlete	competitor	sportsperson	writer	horologist	contestant	aristocrat	leader	h2o	golfer	spelunker	thespian	man vs. nature	man of letters and penchant	man vs. animal	man v. head of government	man v. head of state	homonym
conveyance	cartouche	transport	dinghy	motorboat	vehicle	work of art	olympiad	motorized vehicle	wheelbarrow	moving-picture show	tipping vessel	sleeve	wheelbarrow/wheeled cart	wheelbarrow/wheeled transportation	wheelbarrow/wheeled transport	tegument	wheelbarrow/property	teddy bear	tampon
sneeze	convulsive disorder	hysteria	coughing	cough	bodily fluid	wheeze	sneezing	wheezing	bodily process	uncontrollable allergic reaction	sneeziness	airway obstruction	airway disorder	h2o-di-ox-oxygen gas exchanger	h2o-di-ox-oxygen per unit unit	air-contained disorder	h2o-di-oxygen per unit of time	air-contained sickness	air-condition disorder
person	hustler	swindler	fraud	street hustler	criminal	trader	conman	robber	fraudster	proclémist	persuader	entrepreneur	proclficer	dishonest. hustler	cartelized person	professional prostitute	dishonest person	professional gangster	skepticism
time unit	time period	time interval	period of time	interval	unit of time	condivision	measurement	periodical publication	perceptual state	interval of time	time	arithmetic unit	time intervals	indefinite quantity	division	duration	perceptual value	perceptual disturbance	period of time and duration
astronomical object	body of water	h2o	physical system	atmosphere	dimensionless quantity	sphere	atmospheric layer	spatial relation	physical property	space	natural quantity	ocean	geological formation	atmospheric environment	thespheric layer	atmospheric space	atmospheric state	earth's surface	planetary system
polymer	material	chemical process	compound	plastic	engineering physics	elastomer	non-adhesive	non-absorbable	non-metallic material	non-renewable resource	non-metal substance	elastomeric substance	edifice	elastomeric material	non-reactive substances	non-recyclable material	non-recyclable drug	emulsifier	electronic circuitry
plant	herbaceous plant	perennial	flowering plant	grass	herb	petiophyte	groundcover	annual plant	plant part	grassland	agro-biology	perennial grass	tegument	molecular biologist	graminoide	agronomical science	petioseed	plant genus	herbaceous perennial
label	grammatical category	physical property	written document	piece of paper	book	written symbol	coding system	product	piece of art	piece of work	thespian tense	specification	writing device	grammatical relation	grammatical construct	thesaurus	grammatical construction	visual symbol; graphic symbol	electronic media and storage medium
unit of time	work of art	space	time interval	physical property	physical system	locus	physical phenomenon	physical quantity	timescales	time unit	measure	unused space	acoustic field	arithmetic operations	adverb	definite quantity	locus of interest	asian languages	spatial concept
rebellion	refusal	disobedience	defiance	social rejection	contrariant	resistance	protest	obstinacy	civil disobedience	non-compliance	diffiant action	diffiant behaviour	diffiant behavior	unfaithfulness	social control	action against the law	action against law and order	insubordination	wrongfulness
chartered company	corporation	government agency	organisational form	business organization	legal entity	company	Commission	public utility	organization	public corporation	gov	oklahoma county court	oklahoma county commission	oklahoma county courthouse	bureaucracy	oklahoma county government	oklahoma legislative assembly	oklahoma county commissioners	oklahoma state government
company	corporate structure	firm	taxpayer account	bank account	thespian	venture	concern	enterprise	fund	person	partnership	corporation	legal person	monetary fund	monetary organization	monetary unit	fictitious character	fictitious entity	incorporated organization
alkaloid	molecular entity	ammonium	halogen	chemical group	atom	hydrogen	organic compound	chemical element	divalent ammonium	sulphur	aqueous state	peroxide	elemental nitrogen	inorganic compound	molecular entities	halophilus	halogenium	bonding agent	solid state molecule
person	loser	negative person	misfortune	misbegotten	jerk	bad person	person of character	persuader	persecutor	person group	wrongdoer	distasteful person	persecutors	persuasion	loss incurred	loss	poor person	loss-maker	nonplusee
destruction	degeneration	change	transformation	natural process	process of transformation	degradation	ossification	change of state	morphological state	body process	process of decomposition	process of deformation	dilution	endomorphism	decomposition	pathological state	microorganism	process of deformity	dilation
sailor	sloop	motorized vehicle	ship	moving-picture show	moving vehicle	skiff	boat	mechanical assembly	vessel	sped up moving-picture show	show	sped up moving-picture show.	moving-picture show.	man of the sea	sped up motion	means of transport	aristocracy	sped up motorboat	olympic sport.
person	thespian	court martial artist	sportsperson	wrestler	jock	athlete	actor	racehorse	baseball player	contestant	legal expert	man	writer	forename	given name	film-maker	inquisitor	film director	film making
chicken	animal	poultry	farm animal	meat	domestic chicken	game bird	laying hen	broiler chicken	domesticated animal	domestic animal	Poultry	layinghen	poultry meat	dishie	fowl	feedstock	fowl product	fowls	broiler
agitation	emotion	disorder	excitation	arousal	discontentment	state of affairs	temperamental state	tension	exhortation	mood swing	tumult	agitadilla	disquiet	agitadair	instability	agitación	dissatisfaction	tumescence	involuntary action
electronic music genre	music group	pc game	electronic music ensemble	electronic music band	musical composition	mechanical assembly	piece of work	musical group	musical organization	musical style	band	electronic music group	rock group	cylindrical shape	data file	technical specification	piece of equipment	circuitry	electrical device
city	town	local government	city district	township	hamlet	locale	capital	municipal district	small town	municipal corporation	edifice	local government district	German city	encampment	germany	german city	place of worship	enclave	locality
person	writer	painter	academician	author	essayist	novelist	bookman	art historian	artist	humanist	man	sculptor	work of art	academician and scholar	scientific research and writing	scientific researches	academic establishment	intellectual	prof.
city	town	locale	small town	municipal corporation	muslim community	area of habitable land	museological site	hamlet	port city	center of culture	area of natural elevation	place of residence	museological garden	municipal council	municipal government	mapmaking	enterprise	location	area
physique	body structure	body part	bodily structure	structure	skeletal structure	cochlear implant	limb	condyle	endophysis	condylar tissue	condylar	condylar skin	equator	deficiency	physical phenomenon	muscular structure	endophyseal membrane	hair follicle	endophyseal organ
person	political leader	businessman	foreign policy manager	philanthropist	businessperson	olympiad	foreign policy advisor	foreign policy maker	foreign policy analyst	financial adviser	leader	business person	tycoon	emolumentary	political organisation	political organization	moneyloan-funded organization	moneyloan-granting organization	anti-government organisation
city	town	person	local government area	city district	township	country	street name	hombre	thespian	tourist destination	street vendor	municipality	indigenous people	cartography	village	indigenous peoples	police department	political organization	geographical point
balance of forces	mathematical relation	power	balance	balance of power	balancing act	calculus	symmetry	physical system	balance of force	calculus of probability	square root relation	net effect	proportional relationship	quantitative ratio	physical property	balance of powers	proportional arrangement	power equation	economics
