doing wrongdoing	wrongful conduct wrongdoing	adjustment slander	doing malice wrong	doing malice 	doing malice mal	doing malice malicious	doing malice evil	ness malice wrongful conduct	adjustment bad faith	adjustment wrongness	doing malice bad	adjustment maltreatment	doing wrongful act	ill will malice maliciousness	ness maladjustment	adjustment wrong doing	ness malice wrongful act	adjustment bad intention	ness malice ill will
 travel tourism tourism industry	 travel travel tourism industry	 travel travel tourism travel	 travel tourism industry travel	 mode of transport mode of transport	 travel travel travel tourism	 travel travel tourism tourism	 destination travel travel tourism	 travel tourism travel travel	 travel travel tourism traveling	 tourism travel tourism industry	 travel travel industry travel	 travel travel tourism</s><pad>	 travel tourism travel tourism	 traveling tourism travel travel	 organized tourism travel tourism	 travel travel tourism industry</s>	 travel travel tourism travel	 travel tourism travel</s><pad>	 destination travel travel travel
 storage drawer storage storage	 storage storage storage storage	box storage storage storage	 storage cabinet storage storage	 drawer storage storage storage	appliance household appliance storage device	space drawer storage space storage	of furniture storage storage storage	 storage device storage storage	 storage storage unit storage	 storage storage storage storage	appliance household appliance storage storage	 storage device storage storage medium	 box storage storage storage	 drawer storage storage storage	 storage storage unit storage</s>	 storage cabinet storage compartment	 storage medium storage storage	of art storage storage storage	 storage medium storage storage</s>
player sportsperson athlete person	player olympic sports	billiards player sportsperson	 sportsperson</s><pad><pad><pad><pad>	player professional baseball player sportsperson	player sportsperson jock	player sportsperson pitcher sports	player sportsperson pitcher athlete	 sportsperson person pitcher	player contestant sportsperson	player sportsperson</s><pad><pad><pad>	player athlete person sportsperson	player athlete person</s><pad><pad>	 athlete sportsperson</s><pad><pad>	player sportsperson sports coach	player professional baseball player baseball player	player olympic sport	player person sportsperson sports	player sportsperson sportscaster	er sportsperson sportsperson</s>
 passenger transport means of transport	olympic sport o	 means of transport conveyance	transport means of transport person	olympic sport sport	 passenger transport mode of transport	 means of transport mode of transport	transport means of transport passenger transport	 means of transport means of transport	olympic sport contest	 transportation passenger transport conveyance	 conveyance conveyance conveyanc	transport means of transport cart	olympic sport horse	olympic sport sailing ship	 means of transport means of transportation	 passenger transport conveyance means	 passenger transport passenger transport vehicle	 passenger transport passenger transport means	olympic sport sailing vessel
sneeze cough 	sneeze cough respiratory	sneeze cough cough	sneeze cough gas	sneeze sn	sneeze cough cold	sneeze respiratory illness	sneeze wheeze	sneeze cough air	sneeze cough run	sneeze cough so	sneezing cough	tagious disease cough illness	sneeze cough sickness	symptom cough respiratory disease sickness	sneeze respiratory disease	tagious disease cough cough	sneeze cough stuff	tagious disease illness illness	symptom cough respiratory disease respiratory
thief person person of	 swindler hustler	man person swindler	 robber person 	 smugger criminal	trader business person person	name tradesman hustler	 swindler person	 smuggling 	thief person hood	swindler hustler</s><pad>	man hustler businessman</s>	 robber person person	thief person business person	man hustler person business	 swindler criminal	 swindler thi	man hustler businessman	 smugger person	 robber person criminal
 period of time period of time	 period of time</s><pad><pad><pad>	interval interval period of time	interval interval interval time measurement	interval period of time</s><pad><pad>	interval interval intervals time	interval interval interval time	interval measurement passage of time	interval interval interval of time	interval measurement time interval interval	interval period of time interval	 period of time time interval	interval time interval time period	interval period of time duration	interval length of time interval	interval interval interval period of	interval interval interval duration time	interval interval interval time time	interval interval interval time period	interval interval intervals</s><pad>
sphere</s><pad><pad><pad><pad><pad><pad>	ological unit equator	ological unit edifice	aether sphere a	ological unit topological space 	ologic strata stratosphere	 equator globe	sphere aeolian planet	 equator sphere	sphere body of water</s><pad><pad>	 sphere hemisphere	 sphere hemisp	sphere aeolian world	ological unit topological plane natural	sphere body of water body of	ological unit topological space top	sphere aethersphere 	ological unit physical system sphere	sphere aeolian 	ological unit topological plane ge
 amorphous matter plastic	 amorphous matter material	 material polymer plastics	 material material group plastics	 polymer plastic material material	 polymer plastic material poly	 amorphous substance plastic	science plastic material material science	 polymer plastic material plastic	 polymer polymer plastic	 material plastics</s><pad><pad>	 material plastic material</s><pad><pad>	 plastics material plastics	 amorphous state plastic	 amorphous form plastic	 amorphous state poly	material material material group plastic	 amorphous matter chemical	 amorphous substance material	 polymer polymer molecule
 grass graminaceous	 herbaceous plant plant	 graminea gram	 herbaceous plant wild grass	 herbaceous plant grass	 herbaceous plant perennial	 grass plant plant part	 herb grass plant material	 grass plant herb plant	 gramineas 	 flowering plant herbaceous	 graminea plant material	 herb plant</s><pad><pad><pad>	 herbaceous plant plant life	 grass plant grass</s><pad>	 grass gramineae	 herbaceous plant grass</s>	 herbaceous plant weed	 gramineas perennial	 herbaceous plant herbace
 labelling label</s><pad><pad>	 sign label labelling	 labelling label labelling	ing labeling labeling</s>	 label description label</s><pad>	ing labeling labelling	 sign label labeling	ing labeling labeling	ing labelling system label	ing labelling system graphic symbol	ing labelling system labelling	ing labeling marking label	 labelling packaging label	 labelling label labeling	 label physical property label	ing labelling system label</s>	ing labelling system labeling	 labeling characteristic label	ing labelling system symbolisation	ing labelling system graphic
phenomenon natural phenomenon spatial relation	 body of water physical property	 astronomical object spatial relation	 physical phenomenon physical phenomenon physical	 time dimension dimensionless quantity	 observable natural phenomenon	 astronomical object physical phenomenon	 astronomical object natural phenomenon	relation spacetime time interval	 astronomical object moving picture	phenomenon natural phenomenon physical phenomenon	 astronomical object physical system	time observable spacetime	 time physical system space	 astronomical object physical property	 physical phenomenon physical phenomenon natural	 astronomical object e	 body of water</s><pad><pad><pad>	 astronomical object sphere	time observable space
 disobedience dis	 disobedience</s><pad>	 rebellion disobedience	 disobedience rebellion	 disobedience rebellion	 disobedience 	 disobedience action	 action disobedience	 disobedience refusal	 disobedience resistance	disobedience diso	 rebellion against the law rebellion against	 disobedience resistance	 unfaithfulness rebellion	 disobedience rebel	 disobedience in	 disobedience 	 disobedience un	 unfaithfulness diso	 disobedience vol
corporation corporation government agency corporation	agency regulatory body gov	agency legislative body governing body	body governing body governing	 public corporation corporation gov	body governing body public corporation	agency governing body commission	governmental organization body public corporation	body governing body government agency	corporation corporation government agency 	governmental organization body corporation 	corporation corporation public corporation government	corporation corporation government agency business	firm corporation legal profession 	agency regulatory body agency 	corporation corporation public corporation 	corporation corporation government organization corporation	governmental organization body corporation government	corporation corporation public corporation state	corporation corporation public administration government
 corporation partnership legal person	name legal name legal name	 corporation legal person corporation	govt. state government	agency political organisation gov	 corporation legal person enterprise	 business organization corporation partnership	 legal name legal person legal	 corporation legal person organization	 enterprise legal person organization	governmental body body gov	 enterprise legal person corporation	 enterprise legal person company	 corporation legal person concern	govt. political organisation government	govt. political organisation state	agency political organisation gov.	govt. state government agency	govt. political organization corporation	 legal name legal person organization
ion ion mo	ion ion 	ion molecular entity	ion sulphur	sulfate sulph	ion molecular group	ion atom i	ion adion	ion chemical group</s><pad><pad>	ion chemical group element	ion ions gas	ion chemical group mole	ion chemical group chemical reaction	lecular ion ions	ion ions element	ion atom molecule	ion ion element	ion atom elemental	ion atom</s><pad><pad>	lecular structure chemical group chemical
 loser</s><pad><pad><pad><pad>	 loser loser</s><pad>	r person losers</s>	r wrongdoer person	r person loser's	 loser loser person	r loser loser	r person loser’s	r wrongdoing wrong	 loser loser lose	 loser person loser	r wrongdoer wrong	 loser loser 	 loser loss loser	r wrongdoer mis	r loser loss person	r unfit loser	 loser loser wrong	 loss person of integrity loss	 person loser loser
enlargement engorgement	amplification adjustment	fusion fusion state of matter	enlargement enzym	enlargement expansion enlargement	repulsion aggregation	fusion fusion enlargement	enlargement enzymization	 aggregation fusion	fusion fusion fusion	enlargement engorgement</s>	enlargement enzymisation	repulsion osmulation	adsorption engorgement	 swelling enlargement 	 swelling enlargement expansion	amplification adsorption	triction settling settling	 adversity 	fusion fusion fusion reaction
 mode of transport means of transport	 mode of transport mode of transport	 means of transport mode of transport	transport mode of transport travel	 mode of transport travel ship	 mode of transport ship transport	 mode of transport passenger transport	 means of transport passenger transport	 means of transport means of transport	 means of transport travel travel	 mode of transport ship travel	 ship mode of transport means	 mode of transport travel transport	 transport mode of transport travel	 mode of transport travel ship	transport mode of transport transport	 ship mode of transport travel	 mode of transport transport mode	 transport mode of transport transport	 mode of transport travel travel
</s><pad><pad><pad><pad><pad><pad><pad>	 speaker public speaker speaker	 conductor person conductor	 sportsperson sportsperson</s><pad>	 speaker public speaker speaker</s>	 speaker speaker personel	 television producer television show television	 sportsperson athlete sportswoman	 sportsperson athlete sportsperson	 coach coachess</s>	 sportsperson</s><pad><pad><pad><pad>	 speaker speaker skill speaker trainer	 evaluator</s><pad><pad>	 coach coachess	 speaker speakertrainer speaker	 lecturer teacher teacher</s>	 speaker speaker skill speaker	 lecturer teacher instructor	 speaker speakership speakership	 television producer television show producer
tinned meat poultry meat	 poultry bird meat poultry	 poultry meat poultry meat	 poultry poultry domesticated animal	tinned meat meat poultry	 poultry meat animal poultry	 poultry poultry domestic animal	 poultry poultry meat animal	 poultry bird meat meat	 poultry meat poultry 	 poultry meat animal poultry	 meat poultry meat bird	 meat poultry meat feed	 chicken meat poultry meat	hen poultry meat poultry	 poultry meat poultry feed	 poultry meat poultry poultry	 poultry bird meat domestic	 poultry bird poultry poultry	 meat poultry meat poultry
 agitation nervousness	 agitation agitation	 agitation</s><pad><pad><pad>	burst outburst	burst agitation	 agitation mental state	 agitation emotional distress	 nervousness agitation	 agitation state of affairs	 agitation emotional disturbance	 agitation emotional state	 nervousness nervousness emotion	 agitation state state	 nervousness nervousness 	 nervousness agitation</s>	 nervousness nervousness 	 agitation disturbance</s><pad>	 nervousness nervousness nervous	agitation agitation 	 nervousness nervousness movement
 data-storage medium storage	program computer code computer code	program computer code coding system	 data-storage medium data	code computer code coding system	 data storage medium storage medium	program computer code computer program	program computer code computer software	 data-storage medium computer	code computer code computer code	 data-storage medium file	program computer code data file	code computer program computer code	code computer code code computer	code computer programme computer code	 data-storage medium 	 figure figure group figure	 data-storage medium physical	 data-storage medium record	 data storage medium data storage device
 city</s><pad><pad><pad><pad><pad>	 fort fortification	 township city</s><pad><pad>	 fort city fort	 township capital city	 fort city military installation	 fort military installation military	 hamlet township	 township city political organisation	 city fortress fort	 city fort fort	 capital city</s><pad><pad><pad>	 fort military installation city	 capital fortress city	 fort military installation for	 city district military base military	</s><pad><pad><pad><pad><pad><pad><pad>	 fort military camp military	 fortress fortress</s><pad>	 fort military installation 
</s><pad><pad><pad><pad><pad><pad><pad>	 philologist philologist	 physicist scientist	 philologist social scientist	 painter painter</s><pad>	satirist writer politician	 businessman person politician	 philologist philology	satirist person writer	 businessman person political leader	 physicist</s><pad>	 businessman person business executive	 writer person politician politician	 person architect architect architect	 businessman person businessman	 philologist scholar scholar	 physicist 	 physicist scholar	 philologist philosopher 	 philologist writer 
 county courthouse municipal government	 city polity town	 city polity city	 township township city	 city piece of land land	 county courthouse city administration	 city polity 	 county courthouse county seat	 city polity state	government township city city	 city polity political	 city township city district	courthouse township city	 city piece of land site	 township township</s><pad>	 city polity republic	 county courthouse county administration	 city polity municipality	government township city government	 city parcel of land town
 pathological state pathological state	physis muscular disorder disorder	 muscular dystrophy muscular dys	 muscle spasm disorder	 muscle spasm spas	 pathological state organ system	physis disease disorder	physis muscular disorder disease	 muscular dystrophy muscular disorder	physitis muscular disorder	 muscle spasm muscle spa	 muscular dystrophy disorder	physitis ail	physis muscular disorder muscular	physis muscular disorder muscle	 muscle spasm muscle weakness	 muscle spasm muscular dys	physis disorder disorder	illness disorder mental illness disorder	physis muscular disorder dys
 businessman financier person	 entrepreneur financier person	 person speculator	speculator person spec	 businessman person financier	speculator person investor	 person person financier</s><pad>	 person person financier financier	 businessman financier person</s>	 person investor person financier	 entrepreneur businessman person	 financier person investor investor	 investor person financier financier	 financier person financier financier	 businessman person investor	 financier person investor financier	 person financier</s><pad><pad><pad>	 businessman person businessman	 entrepreneur investor person	 investor financier financier person
 restaurant hotel restaurant</s><pad>	 restaurant hotel</s><pad><pad><pad>	 restaurant accomodation	 restaurant motel hotel	 restaurant hotel restaurant hotel	 restaurant</s><pad><pad><pad><pad><pad>	 restaurant cafe hotel restaurant	 restaurant hotel hotel property	 restaurant restaurant</s><pad><pad><pad>	 restaurant</s><pad><pad><pad><pad><pad>	 service hotel restaurant hotel	 restaurant pub hotel restaurant	business restaurant hotel hotel	 restaurant establishment</s><pad><pad><pad>	 restaurant resto restaurant</s>	 restaurant hotel lodging hotel	 restaurant establishment hotel restaurant	 restaurant hotel catering service	 restaurant hotel hotel complex	 restaurant hotel establishment restaurant
of power physical property balance of	property balance balance of power	of forces physical property balance of	property balance of power balance of	property balance of power physical property	property physical property physical system	balancing act balance of forces	of forces mathematical operation balance of	 balance of forces balance of forces	of power natural law balance of	of power balance of forces balance	of power balance of power</s><pad>	property balance of power physical phenomenon	of power physical property balance	property balance of power legal status	property balance of power natural law	property balance of power natural phenomenon	property balance of power mathematical relation	property balance of power mathematical function	of power natural law</s><pad><pad>
ington d.c.	ington washington dc	ington dc city	ington dc state	ington metropolitan area u.	ington dc m	ington d.c.</s>	ington dc metropolitan area	ington washington state city	ington dc metro	ington metropolis american city	 u.s. city	ington metropolitan area port city	ington dc capital	 u.s. state	ington washington metropolis 	ington dc metro station	ington metropolis dc	ington washington state u	ington washington state d
operation medical procedure surgical operation	procedure surgical procedure surgical operation	procedure surgical procedure medical procedure	operation procedure medical procedure surgical	operation surgical procedure surgical operation	operation operation medical procedure surgical	procedure medical procedure surgical procedure	operation delivery surgical operation procedure	operation delivery medical procedure surgical	operation medical procedure surgical procedure	 medical procedure surgical operation surgical	procedure medical procedure surgical operation	operation operation medical procedure delivery	operation delivery surgical operation surgical	operation delivery surgical operation operation	 medical procedure surgical operation 	 medical procedure surgical operation medical	operation procedure surgery medical procedure	operation operation medical procedure surgery	procedure surgical procedure surgical procedure
ologic timescale geological time	ologic timescale geologic time	ological timescale geological timescale	ologic timescale geologic time interval	ological timescale geological time	ological timescale geological period	ological time scale geological time	ological timescale geologic time	ologic time interval geological time	ary rock geological time interval	ologic time interval geologic time	ologic period geological time ge	ologic timescale geologic period	ological timescale timescale ge	ary rock geological period rock	ological timescale geological period</s>	ary rock geological period sediment	ological timescale time period ge	ological timescale geology ge	ological time scale geologic time
plant plant spice spice	 spice</s><pad><pad><pad><pad><pad>	 spice spice spice plant	 spice spice plant spice	berry spice herb spice	colouring spice spice spice	 spice spice family spice	 plant spice spice spice	colouring spice herb spice	color spice spice plant spice	 spice spice plant spice	 plant part spice spice plant	 spice spice plant herb	plant spice spice spice plant	plant plant spice spice plant	 spice spice plant spice</s>	 spice condiment spice spice	berry flowering plant blackberry	 spice spice plant spice plant	 spices spice family spice
 city piece of land piece	 city piece of land land	spian olympic	 work of art work of art	 city city block block	 musical composition work of art	character fictional character fictional character	 celestial body imaginary person	 work of art fictiti	 work of art musical composition	 work of art picture picture	 work of art mythology	organization political organisation political organisation	 celestial body imaginary being	 work of art picture painting	 work of art picture work	 celestial body natural elevation	 city city block township	 musical composition image work of	 work of art work of literature
device computer system computing device	device computer system computing machine	code computer code computer software	code computer software computer hardware	code computer hardware computer software	code computer code electronic equipment	code computer code computer program	code computer program computer code	code computer software software program	code electronic device computer code	device computing machine computing device	code electronic equipment computer system	device computing machine computing system	program computing device computer software	hardware electronic equipment electronic device	 gadget electronic device electronic equipment	code computer code software computer	code computer code computer code	code electronic equipment electronic equipment	 computing system computing device computing
 picture frame figure figure of	 picture frame representation image	 body part picture figure	 body part picture representational	 picture frame figure front	 image picture show front	 picture frame graphic representational	 picture frame figure representational	 picture frame figure picture show	 image graphical representation image	 image graphical representation picture	 front view picture perspective	 image front figure picture	 image graphical element picture	 picture frame figure picture	 image illustration picture front	 picture frame figure graphical	 picture frame figure s	 picture frame picture show image	 picture figure front picture
horoscope natural phenomenon	epoch natural phenomenon natural	phenomenon spring natural phenomenon natural	 natural phenomenon natural phenomenon phenomenon	phenomenon season natural phenomenon natural	period period of time space	 natural phenomenon natural process natural	period season cyclical period	of time season natural phenomenon	horoscope time interval	 natural phenomenon natural phenomenon natural	period seasonal phenomenon natural phenomenon	horoscope period of time	phenomenon weather condition phenomenon natural	period period of time natural phenomenon	epoch time period natural	epoch time period time	horoscope time period	 natural phenomenon natural process phenomenon	epoch natural phenomenon seasonal
 cost of admission admission admission	 fee admission cost admission	 admission admission cost admission	 cost of admission admission cost	 admission charge admission cost	 charge charge fee admission	 charge fee cost admission	 admission charge admission admission	 charge charge admission price	 charge charge fee</s><pad>	 admission charge cost admission	 fee admission cost cost	 ticket price admission admission	 charge charge admission cost	 admission cost admission cost	 cost of admission admission</s><pad>	 charge charge cost</s><pad>	 cost of admission admission price	 charge cost charge cost	 cost of admission admission ticket
</s><pad><pad><pad><pad><pad><pad><pad>	isation symbolisation symbolisation	ization symbolisation symbolisation	isation emblematic figure symbolisation	isation pictorial representation symbol	isation symbolisation representational system	isation design symbolisation symbol	 design symbolisation symbolisation	isation pictorial representation 	isation symbolisation figure symbol	isation emblematic symbolisation symbol	 image symbolism symbol	 symbolisation symbolisation symbol	isation symbolisation representational unit	isation emblematic representation symbolisation	isation pictorial representation image	isation symbolisation representational process	isation symbolisation representational medium	isation pictorial representation design	ism</s><pad><pad><pad><pad><pad>
 map region mapmaking	edifice built environment	edifice ed	making mapmaking mapmaking	asian region asian continent	asian region asian country	edifice inhabited area	edifice physical system	 map geographic point map	edifice natural environment	 region geographic area mapmaking	 region geographic region mapmaking	linguistics linguistics language	linguistics world geography mapmaking	linguistics linguistics 	edifice occupied territory	asian country geographic point 	asian country geographic location map	linguistics world geography linguistic	 continent geographic region mapmaking
 disease sickness disease process	 illness disease disease process	 illness pathological state disease	 disease illness disease process	 inflammatory disease disease illness	 disease sickness</s><pad><pad><pad>	 illness inflammatory disease sickness	 disease sickness disease process</s>	 disease disease process sickness	 inflammatory disease disease sickness	 disease illness illness process	 sickness disease acute illness	 disease illness sickness</s><pad>	 inflammatory disease disease disease	 disease sickness inflammatory disease	ness disease sickness disease	 illness pathological state sickness	 disease sickness autoimmune disease	 disease illness sickness disease	 disease sickness illness disease
pc game computer program computer	pc game computer programme computer	tegument te	pc game computer program computing	teddy bear animal 	mashup mashup	tetraploid genetic material	pc game computer program code	pc game computer game computer	tetraploid te	pc game computer program 	pc game computer program software	tetralogy te	pc game computer programme 	pc programme computer program software	pc game computer code computer	pc game computer software computer	tetrahedral structure	pc programme computer program computer	tetrahedral shape
 affectionateness love love	 affection love love life	 affection adoration love	 attraction love love interest	 romantic relationship love interest love	 affection adoration affection	 love affection love affair	 desire love love interest	 affection love interest attraction	 affectionateness romantic affection	 love affection lovemaking	 affection love affair affection	 romantic relationship love interest romantic	 attraction love love affair	 affection adoration 	 affection affectionateness love	 affectionateness love affection	 affection love of life love	 affection adoration romantic	 affectionateness desire love
 musical composition rhythmic movement	 rhythmic action move rhythm	 rhythmic action movement rhythm	 move movement musical style	 technical specification technical specification technical	 movement stroke stroke of arms	 action move</s><pad><pad><pad>	 action stroke move</s><pad>	 technical specification sequence technical specification	 move movement sw	 movement move move of magnitude	 movement stroke stroke of arm	 rhythmic action tempo	 rhythmic action movement stroke	 action stroke move of movement	 dance move movement dance style	 technical specification technical specification move	 technical specification technical specification 	 rhythmic action rhythmic movement	 technical specification technical specification stroke
 poetess writer	 writer</s><pad><pad><pad><pad><pad>	 poetess poete	ess poetess	 poetess writer</s>	 writer poet poetes	 poetess</s><pad><pad>	 person poetess	 musician singer songwriter	 singer lyrist	 person lyricist	 poetess essayist	 playwright playwright	 poetess singer	ess person poete	 poetess ly	 lyricist writer	 poetess musician	ess person writer	 writer poet</s><pad><pad><pad>
equivalence ad	criterion accuracy reliability	equivalence rightness	equivalence coherence	equivalence truthfulness	equivalence a prior	equivalence equi	criterion measure quality	licability applicability reliability	equivalence arith	criterion measure metric	metric observable reliability	criterion precision precision measurement	metric observable accuracy	licability applicability knowledge	criterion reliability cri	 accuracy accuracy rate accuracy	criterion measure reliability	criterion accuracy reliability</s>	licability applicability 
</s><pad><pad><pad><pad><pad><pad><pad>	 tv host television show	 fictitious character fictional	 tv host t	 satirist writer</s>	 satirist writer	satirist person sati	 fictitious person</s><pad>	 fictitious person fictional	 satirist dramat	 television producer television producer</s><pad>	 dramatist television producer	 fictitious person actor	 satirist sati	 satirist journalist	 fictitious character actor	 tv host TV producer	 television producer television producer television	satirist writer person	satirist person</s><pad><pad>
cyclone violent storm atmospheric state	storm air current atmospheric state	cyclone violent storm air current	storm air current current of air	cyclone violent storm atmospheric phenomenon	 atmospheric phenomenon weather atmospheric phenomenon	storm current of air weather	storm air current atmospheric phenomenon	omen weather weather condition	omen weather atmospheric phenomenon	of air weather atmospheric condition	 atmospheric state weather atmospheric condition	storm storm atmospheric state natural	storm air current tropical depression	of air weather current wind	storm weather natural phenomenon atmospheric	storm air current hurricane storm	 atmospheric phenomenon weather atmospheric condition	storm air current hurricane tropical	storm air current current of weather
jurisconsult person jurist	jurisconsult person legal expert	jurisconsult person juri	jurisconsult lawyer person	judicial officer jurist person	jurisconsult person lawyer</s>	jurisconsult person judge	 person jurist jurist	jurisconsult person lawmaker	jurisconsult person lawgive	judicial officer judge person person	jurisconsult person juridical	judicial officer judge jurist	 engineer physicist	jurisconsult person lawyer	jurisconsult person legale	jurisconsult person</s><pad><pad>	jurisconsult person literary scholar	judicial officer judge person jur	jurisconsult person literary person
 cell place of confinement	 cell facility prison cell	 incarceration cell	cell jail cell cell block	 prison cell sanatorium	 cell place of confinement</s>	 incarceration prison cell	 cell mental institution prison	 cell mental institution jail	 prison cell solitary person	 prison cell slam	 incarceration s	 incarceration mental institution	building jail jailhouse prison	 jail cell cell block	 prison cell cell block prison	cell jail cell</s><pad><pad><pad>	 prison cell solitary confine	 prison cell solitary	 incarceration jail
olympic sport sport	olympic sport o	medium storage device storage medium	olympic sports sport	olympic sports o	olympic sport competition	olympic sport ball sport	olympic sport sportsperson	olympic sport contest	olympic sport game	olympic sports game	olympic sports sport sport	 string instrument musical instrument string	 string instrument musical instrument musical	medium storage medium storage medium	 instrument musical instrument musical instrument	 musical work musical instrument string	 musical instrument musical instrument</s><pad>	 musical work string instrument string	 string instrument string instrument string
 transport mode of transport mode	 transport mode of transport means	moyen mode of transport transport	 mode of transport mode of transport	 transport mode of transport transport	moyen mode of transport transportation	 movement transportation mode of transport	 conveyance transport mode of	 movement transport mode of transport	 conveyance conveyance transport	 mode of transport transport mode	 transport means of transport transportation	 transport mode of transport cargo	 conveyance conveyance transportation	 transport mode of transport transportation	 transport mode of transport conveyanc	 transport mode of transport cargo	 transport means of transport shipping	 transport means of transport transport	 transportation mode of transport travel
organization business organisation company business	organization business organisation company enterprise	 business process enterprise business process	 enterprise business organization business organisation	 enterprise business organisation company	 business organisation company business organisation	 business organisation enterprise company	organization business organisation business organisation	organization business organisation business organization	 business organization enterprise enterprise	organization company business organization business	 enterprise business organisation enterprise	 business organization enterprise business organisation	 business process business process business	 business organisation enterprise venture	organization company business organisation business	 business organisation business process enterprise	 business organisation company business organization	 business organisation business process business	organization business organisation business organisation</s>
 food product snack food product	 food product food product food	 snack snack food snack	 food product food product snack	chip food product food product	 food product snack snack	 food product snack tortilla	 food product tortilla food product	 food product food product tortilla	chip food product snack snack	 food product snack snack food	 food product food product</s><pad>	 food product tortilla tortilla chip	 food item snack snack</s>	 food product tortilla snack	 tortilla food product snack	 snack snack food snack food	 food item snack snack	 food product snack snack food	chip snack snack food food
 body of water body of water	 waterbody body of water</s>	making waterbody body of water	 waterbody body of water	 waterbody navigable water	 body of water river body	 body of water waterbody	 navigable waterway waterbody	making navigator waterbody	 body of water lake district	 body of water river river	 waterbody navigable river	making river navigable waterway	 waterbody navigable waterbody	making river navigable water	 body of water navigable water	making river river system navig	 body of water river navig	 body of water navigable	making waterbody channel body
ion imperfection imperfect	ion defect imperfection	product facial hair hairstyle	scaly scaly	product hair product hairdo	scuff scuff	 flaw flak fla	language written language written communication	language writing system written communication	language written communication written document	product skin hairstyle hair	ion imperfection irregular	language written communication written communication</s>	product kink hair product	 flaw flaws	ion imperfection defect	product facial hair hairpiece	ion imperfection</s><pad>	scuff roughness rough	product hair product hair product
person writer academician	lexicographer person lexicographer	 boss person leader leader	 writer personel writer	 jurisconsult legal expert	 jurisconsult juri	 boss person chief leader	 jurisconsult lawyer	 boss person leader chief	law firm legal expert lawyer	 chief person boss leader	 writer personage writer</s>	person writer</s><pad><pad><pad><pad>	 boss person leader executive	 jurisconsult intellectual	person writer writer</s><pad><pad>	 boss person chief chief	person writer writer person</s>	 jurisconsult lawyer</s>	 boss person leader person
 mineral abrasive	 mineral</s><pad><pad><pad><pad><pad>	 mineral igneous material	 mineral mineral mixture rock	 natural phenomenon feldspar	 igneous material mineral	 igneous material mineral</s>	 mineral igneous material</s>	 igneous material rock type	 mineral mineral mixture rock</s>	 silicate feldspar	 mineral igneous rock	 igneous material stone	 igneous material rock</s>	 mineral mineral mixture element	 mineral amorphous material	type rock type mineral 	 rock type mineral</s><pad><pad>	 igneous material</s><pad><pad>	 igneous material mineral
 olympic sport	 olympic sports	ing relaying relaying	 team sport team sport relay	 team sport olym	 team sport athletics relay	 team sport relaying relay	ry transmission circuitry transmission	 olympic movement	 technical specification transmission transmission system	ing moving picture moving picture	ing transmission relaying movement	ing transmission relaying moving	ry transmission circuitry circuit	 olympic competition	 technical specification transmission transmission channel	ing moving picture transmission moving	ing transmission relaying relay	 team sport relay race relay	ry transmission circuitry transportation
 olympic sport	 athlete sportsperson person	 athlete jock person	 sportsperson competitor jock	 olympic sports	 sportsperson sportsperson</s><pad>	 sportsperson competitor athlete	 athlete jock</s><pad><pad>	 figure of speech jock	 athlete sport wrestler	 athlete person sportsperson</s>	r person competitor sportsperson	 sportsperson</s><pad><pad><pad><pad>	 athlete sportsperson</s><pad><pad>	 sportsperson competitor sportsperson	 athlete competitor sportsperson</s>	 jock</s><pad><pad><pad><pad>	 athlete jock o	 athlete sportsperson competitor	 sportsperson competitor sportscaster
 person worker</s><pad><pad><pad>	 worker worker</s><pad><pad><pad>	 worker person worker</s><pad>	 hard worker worker</s><pad><pad>	 worker</s><pad><pad><pad><pad><pad>	 worker person workaholic	 workhorse hard	 hard worker</s><pad><pad><pad><pad>	 workhorse worker	 worker workere person	 person hard worker</s><pad><pad>	 worker workere worker</s>	 worker person hard worker</s>	 person workman worker</s>	 worker hard worker</s><pad><pad>	 workmate worker</s><pad><pad>	 workaholic worker worker	 worker workere laborer	 professional worker workere	 workaholic person worker
sacrament sa	 consummation consummation	acclamation suff	sex act sexual intercourse	 completion endangerment	acclamation pledging	 consummation conclusion of life	sacrament sacre	acclamation conclusion 	 conclusion climactic event	acclamation climac	 acclamation 	 consummation conclusion consum	 consummation conclusion 	acclamation conclusion end	 consummation completion</s><pad>	 consummation conclusion conclusion	 conclusion climactic	 conclusion climactic process	 consummation conclusion completion
 capital money fund capital	 deposit money savings account	 capital asset capital money	 deposit money money</s><pad>	asset money money market capital	 deposit money money assets	 capital money capital money	 capital money financial asset	 capital money money fund	 money money financial assets	 capital money financial resources	 money capital money money	 deposit money asset money	 money money financial asset	 capital base capital expenditure money	asset money money market money	 deposit money asset capital	monetary fund money fund money	 capital base capital expenditure capital	 money capital capital money
 public administration airport facility	 public administration controlled-access airport	 facility public building airport	airport international airport public building	airport airport terminal public building	 public administration airport airport	airport airfield airport facility	airport international airport airfield	 public administration public building airport	 public administration airport public building	 public building airport terminal public	 public building airport terminal air	airport airfield airport airport	 facility public building airfield	 public administration airfield airport	 public administration facility terminal	 public building airport terminal facility	 public administration airport facility</s>	airport airfield airport international	 public administration facility airport
